PedNum,SBP,DBP,MAP,ACR,HDL,CHL,TRI,GLU
493,122.3114754,85.9516129,97.49180328,0,133.1,141,153,302
494,132.0322581,93.01612903,105.6774194,0,160.3,173,170,296
495,117.8409091,76.57777778,90.88888889,0,135.2,149,93,366
496,140.1142857,105.5492958,116.6197183,0,145.7,154,79,331
497,97.22580645,63.75,75.15625,0,133,135,97,280
498,106.3243243,68.97333333,81.48,0,130.4,134,133,284
499,91.66666667,58.76923077,71.07692308,0,157.1,168,109,373
500,136.1166667,100.4754098,113.4333333,0,173.6,187,115,285
501,116.8727273,82.125,92.94545455,0,149.7,157,206,349
502,119.65,81.56140351,93.89830508,0,152.8,162,164,359
503,89.48387097,62.1,70.6,0,169.7,191,217,315
504,118.3461538,83.12820513,94.55128205,0,139.4,150,178,476
505,111.8666667,80.6744186,90.22727273,0,149.7,167,192,391
506,101.5762712,74.06779661,82.81666667,0,157,170,140,388
507,71.6875,46.05882353,55.11764706,0,125,128,106,378
508,130.140625,100.4354839,109.8870968,0,138.1,146,86,315
509,139.6153846,106.5769231,118.4716981,0,138,145,130,201
510,103.5166667,68.90322581,80.22580645,0,132.6,137,122,247
511,81.64102564,45.1,57.875,0,159.9,175,116,281
512,126.2898551,78.94366197,94.22857143,0,163.8,185,119,349
513,121.6119403,87.07352941,98.6,0,122.3,126,102,230
514,148.597561,114.8170732,127.0121951,0,150.9,159,133,311
515,92.93333333,62.24444444,73.32608696,0,145,155,126,296
516,105.9102564,72.01265823,85.04938272,0,136.3,149,151,342
517,100.90625,68.3030303,79.40625,0,101.7,104,102,345
518,115.5694444,83.01369863,94.50684932,0,148.7,156,114,291
519,101.2051282,74.75641026,83.78205128,0,156,170,127,339
520,126.164557,91.12658228,102.4556962,0,150.8,161,112,353
521,135.173913,106.3555556,114.9347826,0,142.1,152,159,284
522,147.234375,112.2615385,123.96875,0,138.8,151,183,305
523,74.53333333,41.86666667,52.6,0,142.3,154,186,358
524,92.14285714,55.22916667,66.68085106,0,148.1,164,187,289
525,115.72,79.92307692,92.30769231,0,141.4,154,162,273
526,121.8441558,76.5125,92.15,0,135,145,132,344
527,131.3454545,101.2909091,112.0363636,0,151.5,164,139,360
528,129.7173913,91.93478261,104.1304348,0,129.7,132,104,326
529,90.98275862,53.68965517,65.55172414,0,131.2,138,109,291
530,116.5,76.38,89.32653061,0,157.9,170,116,280
531,95.88679245,57.13207547,71.41818182,0,158,168,150,296
532,105.140625,69.95454545,81.18461538,0,145.8,152,96,246
533,150.28,114,125.7066667,0,182.9,200,213,251
534,99.22727273,70.56818182,79.79545455,0,100.4,105,136,353
535,91.41176471,67.97222222,75.25,0,172.2,191,100,332
536,149.7692308,108.8333333,122.9444444,0,162.1,171,130,405
537,127.66,92.24,104.46,0,154.7,158,159,271
538,137.9272727,101.1454545,112.1090909,0,162.2,175,158,315
540,120.71875,87.11764706,97.78787879,0,119.2,126,111,325
541,NA,NA,NA,0,136.7,150,152,310
542,67,41.33333333,49.66666667,0,157.8,164,121,378
543,69.25714286,44.77142857,52.11764706,0,150.8,169,209,294
544,124.4266667,81.65333333,95.84,0,154.5,165,112,288
545,99.3125,65.98780488,76.87804878,0,152,164,90,273
546,89.765625,56.92307692,67.3125,0,165,178,143,258
547,89.71875,55.6,67.9375,0,173.9,196,145,347
548,122.1311475,87.40625,98.29032258,0,186,203,132,359
549,101.55,67.61538462,78.25641026,0,164.3,192,199,317
550,106.92,59.32692308,74.06,0,108.8,112,105,316
551,104.0327869,75.75409836,84.67741935,0,150,164,149,338
552,76.96969697,50.63636364,58.90625,0,156.8,169,152,385
553,114.1578947,79.17241379,90.96491228,0,188.9,207,136,309
554,131.9387755,73.82,93.22,0.136105675,146,156,97,329
555,99.21568627,70.73076923,80.29411765,0,137.2,150,189,272
556,128.2553191,95,105.3333333,0,144.4,152,137,328
557,126.4324324,94.4,104.92,4.825199,143.5,152,145,314
558,99.28,66.01388889,76.82191781,0,127.2,133,97,266
559,106.2,77.4,86.6,0,139.5,144,122,306
560,128.5652174,91.78571429,103.6,0,150.6,159,118,305
561,115.0422535,83.23287671,94.15068493,0,197.3,215,161,360
562,94.76363636,64.50877193,75.10526316,0,126.4,134,131,418
563,124.9111111,92.19565217,103.6,0,174.6,190,113,266
564,104.3214286,72.39759036,82.56626506,0,130,138,170,229
565,115.1454545,79.59649123,90.41818182,0,162.6,173,168,301
566,79.10714286,45.17857143,55.77777778,0,155.4,160,128,329
567,106.4246575,66.40540541,79.81081081,0,188.9,197,172,317
568,112.3614458,67.93902439,82.32926829,0,167.8,179,98,276
569,94.25,60.875,71.66666667,0,160.9,170,201,314
570,76.60416667,49.5625,57.68085106,0,133.5,140,184,335
571,126.9230769,88.51515152,101.6,0,135.2,139,135,360
572,139.6363636,102.4528302,114.537037,0,147.5,156,122,295
573,101.2641509,65.36363636,77.25925926,0,131.5,136,162,260
574,154.2586207,107.1355932,122.5438596,0,120.3,121,108,311
575,132.5357143,98.92727273,110.1454545,0,120.4,121,92,275
576,143.4615385,109.0967742,120.7301587,0,147.2,148,109,315
577,119.0833333,75.14814815,87.7037037,0,151.9,165,212,256
578,132.625,100.6363636,111.1363636,0,126.8,130,145,334
579,89.63414634,57.2195122,68.26190476,0,154.6,164,135,413
580,147.1686747,109.6626506,122.3414634,119.2222246,193.6,211,114,282
581,96.86956522,65.08333333,75.75,0,150.9,166,88,270
582,123.8383838,88.75257732,100.1111111,0,139,146,107,255
583,128.6987952,94.51764706,106.0357143,0,137.9,140,91,275
584,115.7857143,71.25581395,86.72093023,0,139.4,147,130,244
585,114.0740741,78.44444444,90.95121951,0,107.1,108,111,260
586,93.70731707,54.55,67.05,0,169.4,174,192,317
587,142.5178571,104.5357143,116.1034483,10.73418362,158.8,170,120,339
588,136.2982456,102.7758621,114.5344828,0,135.3,138,141,350
589,NA,NA,NA,0,132.9,139,121,264
590,100.68,62.71153846,75.54,0,142.8,153,122,315
591,131.0285714,96.36764706,107.9565217,0,124.3,129,100,278
592,119.8311688,80.17333333,93.63157895,0,149.3,154,100,286
593,128.0958904,93.30666667,106.0394737,0,133.3,142,133,222
594,93.98387097,58.21666667,68.86440678,0,151.7,160,164,323
595,127.2222222,94.34615385,103.8888889,746.5333937,175.1,197,153,320
596,102.3114754,69.20634921,79.98387097,0,209.8,238,218,339
597,154.4677419,116.483871,128.047619,0,151.9,149,111,294
598,114.1290323,72.16129032,85.83870968,0,148.8,155,132,273
599,71.66666667,41.70588235,52.33333333,0,151.4,159,110,320
600,135.5,93.18666667,107.2266667,0,124.7,125,75,283
